TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
HMGA1	1	0	1	1	1	1	0	0	0
PIN1	0	1	1	1	1	1	0	0	1
HOXC11	0	0	0	0	0	0	1	0	0
JDP2	0	0	1	0	1	0	1	0	0
POU2AF1	0	0	0	0	0	0	1	0	0
RXRB	0	1	0	0	1	0	1	0	0
LHX6	0	0	0	0	0	0	1	0	0
GTF3A	0	0	1	0	1	0	0	0	0
HES1	0	0	1	0	0	0	0	0	0
HHEX	0	0	0	0	1	0	0	0	0
HLX	1	0	0	0	0	0	0	0	0
HMG20A	0	0	0	0	1	1	0	0	0
HNF4G	0	1	0	0	0	0	0	0	0
HOMEZ	0	1	0	0	0	0	0	0	0
HOXA1	0	0	1	0	1	0	0	0	0
HOXA10	0	0	1	0	1	1	0	0	0
HOXA11	0	0	1	0	1	0	0	0	0
HOXA13	0	0	1	0	1	0	0	0	0
HOXA3	0	1	0	0	0	0	0	0	0
HOXA4	0	0	1	0	0	0	0	0	0
HOXA5	0	1	1	0	1	0	0	0	0
HOXA7	0	0	1	0	1	0	0	0	0
HOXA9	0	0	1	0	1	1	0	0	1
HOXB1	0	0	1	0	0	0	1	0	0
HOXB2	1	1	0	0	0	0	0	0	0
HOXB4	0	0	1	0	0	0	0	0	0
HOXB6	0	0	1	0	0	0	0	0	0
HOXB8	0	0	1	0	0	0	0	0	0
HOXC4	0	0	1	0	0	0	0	0	0
HOXC5	0	0	1	0	0	0	0	0	0
HOXC8	0	0	1	0	0	0	0	0	0
HOXC9	0	0	1	0	0	0	0	0	0
HOXD11	0	0	1	0	0	0	0	0	0
HOXD12	0	0	1	0	1	0	0	0	0
HOXD4	0	0	1	0	0	0	0	0	0
HOXD8	0	0	1	0	0	0	0	0	0
HOXD9	0	0	1	0	0	0	0	0	0
HSF1	1	1	0	0	1	0	0	0	0
IKZF1	1	1	0	0	1	1	0	0	0
IKZF5	0	0	0	0	1	0	0	0	0
IRF3	0	0	1	0	1	0	0	0	0
IRF8	0	0	0	0	1	0	0	0	0
ISL1	1	0	0	0	0	0	0	0	0
JUND	1	1	1	0	1	0	0	0	0
KCMF1	0	1	0	0	0	0	0	0	0
KIN	1	0	0	0	1	0	0	0	0
KLF4	1	0	0	0	0	0	0	0	0
KLF6	0	0	0	0	1	0	0	0	0
KMT2A	1	0	1	0	1	1	0	0	0
L3MBTL3	0	0	1	0	0	0	0	0	0
LCORL	0	1	0	0	0	0	0	0	0
LEF1	1	0	0	0	0	0	0	0	0
LIN28A	0	1	0	0	1	0	0	0	0
LIN28B	0	0	0	0	1	0	0	0	0
LMX1A	1	0	0	0	0	0	0	0	0
MAFB	0	0	1	0	1	0	0	0	0
MAFG	0	1	0	0	0	0	0	0	0
MBD1	0	0	0	0	1	0	0	0	0
MBD2	0	0	1	0	1	1	0	0	0
MBD3	1	0	0	0	1	1	0	0	0
MBD4	0	0	0	0	1	1	0	0	0
MBNL2	0	0	0	0	1	0	0	0	0
MECOM	0	1	0	0	0	0	0	0	0
MECP2	1	0	1	0	1	1	0	0	0
NR0B1	0	1	0	0	0	0	0	0	0
NR1D1	0	1	0	0	1	0	0	0	0
NR1D2	0	1	0	0	1	0	0	0	0
NR1H2	1	1	0	0	0	0	0	0	0
NR1H4	1	1	0	0	0	0	0	0	0
NR1I2	0	1	0	0	0	0	0	0	0
NR1I3	0	1	0	0	0	0	0	0	0
NR2C1	1	1	0	0	0	0	0	0	0
NR2C2	1	1	1	0	1	0	1	0	0
NR2E1	1	1	0	0	0	0	0	0	0
NR2E3	0	1	0	0	0	0	0	0	0
NR2F1	0	1	0	0	0	0	0	0	0
NR2F6	0	1	0	0	0	0	0	0	0
NR3C1	1	1	1	0	1	0	0	0	0
NR3C2	0	1	0	0	0	0	0	0	0
NR4A2	1	1	0	0	0	0	0	0	0
NR4A3	1	1	0	0	0	0	0	0	0
NR5A2	0	1	0	0	0	0	0	0	0
NR6A1	0	1	0	0	0	0	0	0	0
POU1F1	0	1	0	0	0	0	0	0	0
PPARA	1	1	1	0	0	0	0	0	0
PPARD	1	1	0	0	0	0	0	0	0
RORA	1	1	0	0	0	0	0	0	0
RORB	0	1	0	0	0	0	0	0	0
RORC	0	1	0	0	0	0	0	0	0
RXRG	0	1	0	0	1	0	0	0	0
THRB	1	1	0	0	0	0	0	0	0
NPAS3	0	1	0	0	0	0	0	0	0
PATZ1	0	1	0	0	0	0	0	0	0
PRDM15	0	1	0	0	0	0	0	0	0
SOX9	0	1	0	0	1	1	1	0	0
ZNF655	0	1	1	0	0	0	0	0	0
STAT2	1	1	0	0	1	0	0	0	0
MYB	1	1	0	0	1	0	0	0	0
PAX6	1	1	1	0	1	0	0	0	0
PLSCR1	1	1	0	0	0	0	0	0	0
TP73	1	1	1	0	1	0	0	0	0
ZBTB22	0	1	0	0	0	0	0	0	0
ZFP64	0	1	0	0	0	0	0	0	0
MSX1	0	1	0	0	1	0	1	0	0
RBAK	1	1	1	0	0	0	0	0	0
ZFP1	1	1	1	0	0	0	0	0	0
ZFP28	1	1	1	0	0	0	0	0	0
ZFP37	1	1	1	0	1	0	0	0	0
ZFP69	1	1	1	0	0	0	0	0	0
ZFP90	1	1	1	0	0	0	0	0	0
ZIM3	1	1	1	0	0	0	0	0	0
ZNF107	1	1	1	0	0	0	0	0	0
ZNF132	1	1	1	0	0	0	0	0	0
